Campus,Semester Key,Semester,Level,Course Name,Course Number,Course Description,Credits,Grade,WI,E,O,H,Foun.,Div.,NI,UD,SF,Area,Area2,Area3,Area4,Area5,Attempted Credits,GPR Credits,Earned Credits,Quality Points,Repeats,College,Instructor,Banner Comments,Academic Pathway Comments,Transfer Institution,Transfer Course Name,Transfer Course Number, Transfer Course Description,Transfer Credits,Transfer Grade,Transfer Accept,Email,First Name,Last Name,Major Name
Manoa,201610,Fall 2015,UG,ENG,100,Composition I,3,B-, , , , ,FW, , , , ,FW-WRITTEN COMM( 2016-BA),,,,,3,3,3,8.1, ,Colleges of Arts & Sciences,Bueno Amalia, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201610,Fall 2015,UG,GER,101,Elementary German,3,A-, , , , , , , , , ,HSL 101( 2016-BA),,,,,3,3,3,11.1, ,Colleges of Arts & Sciences,Tran Jennie, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201610,Fall 2015,UG,ICS,111,Intro to Computer Science I,4,C, , , , , , , , , ,,,,,,4,4,4,8, ,Colleges of Arts & Sciences,Leigh Jason, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201610,Fall 2015,UG,MATH,241,Calculus I,4,C-, , , , ,FS, ,NI, , ,Not-used,Not-used,Not-used,Not-used,Not-used,4,0,0,0,SR,Colleges of Arts & Sciences,Myers Dale, ,Banner repeatd course                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201610,Fall 2015,UG,ICS,141,Discrete Math for CS I,0,W, , , , , , , , , ,Not-used,Not-used,Not-used,Not-used,Not-used,0,0,0,0, ,Colleges of Arts & Sciences,Sugihara Kazuo, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201630,Spring 2016,UG,REL,150,Intro to the World's Major Rel,3,A, , , , ,FGC, , , , ,FGC-GLOBAL( 2016-BA),,,,,3,3,3,12, ,Colleges of Arts & Sciences,Siegel Lee, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201630,Spring 2016,UG,ICS,111,Intro to Computer Science I,4,A, , , , , , , , , ,Not-used,Not-used,Not-used,Not-used,Not-used,4,0,0,0,SR,Colleges of Arts & Sciences,Leigh Jason, ,Banner repeatd course                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201630,Spring 2016,UG,ICS,141,Discrete Math for CS I,3,C, , , , ,FS, , , , ,,,,,,3,3,3,6, ,Colleges of Arts & Sciences,Baek Kyungim, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201630,Spring 2016,UG,GER,102,Elementary German,3,B-, , , , , , , , , ,HSL 102( 2016-BA),,,,,3,3,3,8.1, ,Colleges of Arts & Sciences,Hawajska-Waters Anna, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201640,Summer 2016,UG,ART,107,Introduction to Photography,3,B+, , , , , ,DA, , , ,DA-DIV ARTS( 2016-BA),,,,,3,3,3,9.9, ,Colleges of Arts & Sciences,Jung Phillip, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
Manoa,201640,Summer 2016,UG,MATH,241,Calculus I,4,C, , , , ,FS, ,NI, , ,FS-SYMBOLIC REASON( 2016-BA),,,,,4,4,4,8, ,Colleges of Arts & Sciences,Lorentz Matthew, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , , , , , , ,abi@hawaii.edu,Abigail,Kealoha,Manoa Undergraduate BS/CSCI
