Semester,Course Name,Course Number,Course Description,Credits,Grade
Fall 2016,JPN,201,Intermediate Japanese,4,***
Fall 2016,GG,101,Dynamic Earth,3,***
Fall 2016,ICS,241,Discrete Mathematics II,3,***
Fall 2016,GG,101L,Dynamic Earth Laboratory,1,***
Fall 2016,ICS,212,Unofficial Transfer,3,***
Spring 2016,PSY,100,Survey of Psychology,3,A
Spring 2016,ICS,141,Discrete Math for CS I,3,A
Spring 2016,JPN,102,Elementary Japanese,4,B
Spring 2016,HAW,100,Lang. in Hawai'i:Global Issues,3,A+
Spring 2016,ICS,211,Intro to Computer Science II,4,B+
Fall 2015,ART,175,Survey of Global Art I,3,C+
Fall 2015,ICS,141,Discrete Math for CS I,3,D-
Fall 2015,MUS,106,Intro to Music Literature,3,CR
Fall 2015,JPN,101,Elementary Japanese,4,CR
Fall 2015,ICS,111,Intro to Computer Science I,3,CR
