Semester,Course Name,Course Number,Course Description,Credits,Grade
Fall 2016,ICS,491,Seminar in Computer Sciece,3,***
Fall 2016,CHEM,162,General Chemistry II,3,***
Fall 2016,ICS,499,Independent Study,4,***
Fall 2016,CHEM,162L,General Chemistry Lab II,1,***
Spring 2016,CHEM,161,General Chemistry I,3,B
Spring 2016,CHEM,161L,General Chemistry Lab I,1,B
Spring 2016,ICS,332,Operating Systems,3,B
Spring 2016,ICS,425,Computer Security and Ethics,3,A
Spring 2016,MATH,242,Calculus II,4,C
Fall 2015,CHEM,131,Prep. for Gen. Chemistry,3,A-
Fall 2015,MATH,241,Calculus I,4,B+
Fall 2015,ICS,361,Introduction to Artificial Intelligence Programming,3,B
Fall 2015,ICS,311,Algorithms,4,B+
Summer 2015,MATH,140,Precalc: Trig & Analytic Geom,3,CR
Spring 2015,ICS,212,Program Structure,3,A
Spring 2015,ICS,241,Discrete Mathematics II,3,A
Fall 2014,ICS,141,Discrete Math for CS I,3,A-
Fall 2012,LTEC,448,Links to Lifelong Learning,3,A
Fall 2012,PACS,108,Pacific Worlds,3,A
Fall 2012,JPN,211,Int Japanese for Oral Com I,3,A-
Fall 2012,ACC,201,Intro to Financial Accounting,3,CR
Summer 2012 Ext,ES,370,Literatures of Hawai'i,3,A
Summer 2012 Ext,FR,259,Intermediate French Abroad,3,B
Spring 2012,ART,123,Introduction to Painting,3,A
Spring 2012,ENG,414,Fiction Workshop,3,A
Spring 2012,FR,102,Elementary French,3,A-
Spring 2012,ENG,352,20th-Century Novel in English,3,A-
Spring 2012,POLS,110,Intro to Political Science,3,A
Fall 2011,ENG,313,Types of Creative Writing,3,A
Fall 2011,ENG,413,Form and Theory of Fiction,3,A
Fall 2011,FR,101,Elementary French,3,A
Fall 2011,ICS,211,Intro to Computer Science II,3,A
Fall 2011,HIST,151,World History to 1500,3,CR
Spring 2011,BOT,101,General Botany,3,A-
Spring 2011,BOT,101L,General Botany Laboratory,1,A
Spring 2011,ENG,320,Intro to English Studies,3,A
Spring 2011,ENG,321,Backgrounds of Western Lit,3,B+
Spring 2011,PSY,100,Survey of Psychology,3,C
Spring 2011,ICS,111,Intro to Computer Science I,4,A
Summer 2010,JOUR,150,The Media and Society,3,A
